Latitude,Longitude,Depth,Magnitude,Quality,Location
66.271,-16.524,5.9 km,1.2,90.01,4.7 km SW of Kópasker
66.251,-16.585,1.1 km,2,90.04,8.2 km SW of Kópasker
66.271,-16.545,5.2 km,1,35.01,5.4 km SW of Kópasker
66.255,-16.544,2.9 km,1,74.34,6.6 km SW of Kópasker
66.248,-16.786,8.7 km,1.1,48.2,16.1 km WSW of Kópasker
66.247,-16.568,3.5 km,1.8,90.03,8.0 km SW of Kópasker
66.267,-16.536,2.8 km,1,80.96,5.4 km SW of Kópasker
66.267,-16.541,1.8 km,1,60.19,5.5 km SW of Kópasker
66.266,-16.529,2.5 km,1.1,82.91,5.3 km SW of Kópasker
66.235,-16.582,2.7 km,1.6,90.02,9.4 km SW of Kópasker
66.22,-16.562,2.2 km,1.1,82.63,10.3 km SSW of Kópasker
66.25,-16.547,3.0 km,1,64.4,7.1 km SW of Kópasker
66.242,-16.538,3.6 km,1,43.48,7.7 km SSW of Kópasker
66.227,-16.519,5.4 km,0.8,36.68,8.8 km SSW of Kópasker
66.249,-16.557,4.8 km,1.2,80.23,7.5 km SW of Kópasker
66.237,-16.592,2.3 km,1.6,90.03,9.5 km SW of Kópasker
64.59,-17.167,0.3 km,1,52.49,18.1 km ESE of Bárðarbunga
66.26,-16.536,4.2 km,1.3,90.01,6.0 km SW of Kópasker
64.601,-17.17,11.5 km,1,90.02,17.6 km ESE of Bárðarbunga
64.107,-21.249,4.5 km,1.5,90.02,3.8 km ENE of Skeggi á Hengli
66.224,-16.525,2.8 km,1.2,90.01,9.2 km SSW of Kópasker
66.262,-16.537,5.3 km,1.9,90.02,5.8 km SW of Kópasker
66.235,-16.543,5.3 km,0.9,34.05,8.5 km SSW of Kópasker
66.235,-16.502,3.4 km,1.2,84.33,7.7 km SSW of Kópasker
66.221,-16.529,2.9 km,0.9,90.01,9.6 km SSW of Kópasker
66.219,-16.545,4.0 km,0.9,67.93,10.1 km SSW of Kópasker
66.236,-16.552,4.9 km,1,34.44,8.6 km SSW of Kópasker
66.244,-16.561,0.7 km,0.9,47.47,8.1 km SW of Kópasker
66.238,-16.55,5.6 km,1.2,90.01,8.3 km SSW of Kópasker
66.224,-16.503,7.1 km,1.2,90.01,8.9 km SSW of Kópasker
66.237,-16.553,5.5 km,1.1,41.62,8.5 km SSW of Kópasker
66.242,-16.557,2.5 km,1.1,80.94,8.1 km SW of Kópasker
66.219,-16.544,4.6 km,1.3,90.01,10.1 km SSW of Kópasker
66.269,-16.535,2.5 km,1.5,90.01,5.2 km SW of Kópasker
66.232,-16.558,3.4 km,0.9,33.19,9.1 km SSW of Kópasker
66.241,-16.547,3.0 km,1.1,60.32,8.0 km SSW of Kópasker
66.253,-16.534,5.6 km,1.1,81.68,6.5 km SW of Kópasker
66.223,-16.492,0.7 km,0.9,47.37,8.9 km SSW of Kópasker
66.27,-16.534,2.5 km,1.3,87.71,5.1 km SW of Kópasker
66.241,-16.56,2.2 km,1.1,82.03,8.3 km SW of Kópasker
66.263,-16.535,1.9 km,1.1,72.23,5.7 km SW of Kópasker
66.239,-16.554,5.5 km,1.2,83.03,8.3 km SSW of Kópasker
66.243,-16.528,1.4 km,1.2,90.01,7.4 km SSW of Kópasker
66.24,-16.546,7.1 km,1.7,90.03,8.0 km SSW of Kópasker
66.245,-16.548,1.9 km,1.1,82.14,7.6 km SW of Kópasker
66.236,-16.559,3.1 km,0.9,54.03,8.7 km SSW of Kópasker
66.231,-16.564,3.6 km,1,43.89,9.3 km SSW of Kópasker
66.234,-16.559,4.4 km,0.9,68.4,8.9 km SSW of Kópasker
66.24,-16.59,2.6 km,2.3,90.04,9.2 km SW of Kópasker
66.223,-16.529,2.9 km,1.2,75.19,9.4 km SSW of Kópasker
66.234,-16.574,2.0 km,1,46.31,9.3 km SW of Kópasker
66.239,-16.561,3.3 km,0.9,71.84,8.5 km SW of Kópasker
66.241,-16.561,2.7 km,1.1,39.85,8.3 km SW of Kópasker
66.225,-16.516,4.4 km,1.1,68.25,9.0 km SSW of Kópasker
66.238,-16.549,4.5 km,1.1,90.01,8.3 km SSW of Kópasker
66.266,-16.552,0.9 km,1,47.33,6.0 km SW of Kópasker
66.261,-16.534,5.2 km,1.3,81.6,5.8 km SW of Kópasker
66.279,-16.488,5.7 km,1.4,54.27,3.0 km SSW of Kópasker
66.271,-16.53,7.0 km,1.2,90.01,4.9 km SW of Kópasker
66.275,-16.515,4.4 km,1.2,65.04,4.1 km SW of Kópasker
66.276,-16.528,5.3 km,1,37.22,4.4 km SW of Kópasker
66.267,-16.455,18.7 km,1.2,90.01,3.9 km S of Kópasker
66.614,-17.818,5.6 km,1.4,90.01,11.7 km NE of Grímsey
66.246,-16.601,0.9 km,1.6,72.13,9.1 km SW of Kópasker
66.241,-16.542,2.4 km,1.3,90.01,7.9 km SSW of Kópasker
66.394,-16.527,9.8 km,1.6,90.01,10.8 km NNW of Kópasker
66.251,-16.555,2.2 km,1.7,90.02,7.3 km SW of Kópasker
66.322,-16.49,5.3 km,1.1,34.84,2.8 km NW of Kópasker
66.271,-16.632,0.7 km,1.1,45.64,8.7 km WSW of Kópasker
66.239,-16.542,1.1 km,0.9,45.32,8.0 km SSW of Kópasker
66.262,-16.537,1.0 km,1.3,90.01,5.8 km SW of Kópasker
66.264,-16.536,1.1 km,1,35.33,5.6 km SW of Kópasker
66.219,-16.552,1.1 km,1.1,54.02,10.2 km SSW of Kópasker
66.239,-16.535,3.2 km,0.9,46.04,7.9 km SSW of Kópasker
66.263,-16.55,0.3 km,1.1,48.64,6.1 km SW of Kópasker
66.242,-16.54,5.3 km,1.1,86.33,7.7 km SSW of Kópasker
66.25,-16.525,2.4 km,1,81.58,6.6 km SSW of Kópasker
66.239,-16.56,3.5 km,1.4,90.02,8.5 km SW of Kópasker
66.266,-16.541,4.9 km,1.8,90.01,5.6 km SW of Kópasker
66.265,-16.548,1.1 km,2.5,90.03,5.9 km SW of Kópasker
66.252,-16.559,5.1 km,1,56.4,7.3 km SW of Kópasker
66.269,-16.555,2.4 km,1,57.78,5.9 km SW of Kópasker
66.231,-16.567,1.3 km,1.2,87.55,9.4 km SSW of Kópasker
66.226,-16.528,3.5 km,1.3,86.48,9.1 km SSW of Kópasker
66.268,-16.538,3.1 km,1.2,73.19,5.4 km SW of Kópasker
66.232,-16.535,4.6 km,1.2,38.69,8.6 km SSW of Kópasker
66.239,-16.548,4.3 km,1.1,82.61,8.2 km SSW of Kópasker
66.237,-16.559,1.8 km,1,88.76,8.6 km SSW of Kópasker
66.244,-16.547,4.2 km,1.1,56.18,7.7 km SSW of Kópasker
66.246,-16.552,5.2 km,0.9,35.55,7.6 km SW of Kópasker
66.225,-16.525,3.2 km,1.2,90.01,9.1 km SSW of Kópasker
66.266,-16.559,0.1 km,1,30.17,6.2 km SW of Kópasker
66.224,-16.528,2.9 km,1.2,90.01,9.3 km SSW of Kópasker
66.225,-16.511,9.3 km,1.1,32.94,8.9 km SSW of Kópasker
66.246,-16.566,2.0 km,2.6,90.06,8.0 km SW of Kópasker
66.235,-16.572,1.4 km,1.5,90.01,9.2 km SW of Kópasker
66.263,-16.538,2.0 km,1.1,74.02,5.8 km SW of Kópasker
66.619,-17.805,5.6 km,1.4,90.01,12.5 km NE of Grímsey
66.27,-16.543,5.3 km,1,34.82,5.4 km SW of Kópasker
66.868,-16.261,5.2 km,1.9,37.45,63.5 km N of Kópasker
66.231,-16.564,2.4 km,0.9,74.09,9.3 km SSW of Kópasker
66.245,-16.568,3.4 km,1.8,90.03,8.2 km SW of Kópasker
66.227,-16.533,2.6 km,1.5,90.01,9.1 km SSW of Kópasker
66.24,-16.574,1.4 km,1.1,36.12,8.8 km SW of Kópasker
66.242,-16.549,3.2 km,1.2,81.31,7.9 km SSW of Kópasker
66.269,-16.54,5.0 km,1,73.1,5.4 km SW of Kópasker
66.251,-16.525,8.7 km,1.1,44.01,6.5 km SSW of Kópasker
66.23,-16.504,5.4 km,0.9,56.51,8.3 km SSW of Kópasker
66.244,-16.561,5.0 km,1,30.58,8.1 km SW of Kópasker
66.252,-16.559,5.3 km,1.2,59.14,7.3 km SW of Kópasker
66.228,-16.535,4.4 km,1.1,89.07,9.0 km SSW of Kópasker
66.269,-16.55,3.4 km,1.4,90.01,5.7 km SW of Kópasker
66.271,-16.542,5.3 km,1,36.92,5.3 km SW of Kópasker
66.242,-16.556,3.9 km,1.2,79.35,8.1 km SW of Kópasker
66.225,-16.551,1.1 km,1,74.17,9.6 km SSW of Kópasker
66.244,-16.553,6.2 km,1.2,83.49,7.8 km SW of Kópasker
66.248,-16.56,1.4 km,1,57.57,7.7 km SW of Kópasker
66.227,-16.582,0.1 km,0.9,30.03,10.1 km SW of Kópasker
66.244,-16.574,3.0 km,2.1,90.04,8.4 km SW of Kópasker
